source,titre,annee,prix,kilometrage,localisation,url,date_trouvee
leboncoin.fr,Toyota Auris Touring Sport Toit panoramique,2016,12 500 €,225 300 km,Bordeaux (33),https://www.leboncoin.fr/ad/voitures/3169506117,2026-04-08
leboncoin.fr,Toyota auris touring sports,2015,10 500 €,252 000 km,Mérignac (33),https://www.leboncoin.fr/ad/voitures/3175431685,2026-04-08
leboncoin.fr,Toyota auris 2 PHASE 2 touring sports hybride 136h executive - Garantie12mois national - Toit panoramique - cuir chauffant - Camera de recul,2015,14 490 €,129 890 km,Corbas (69),https://www.leboncoin.fr/ad/voitures/3172167370,2026-04-08
leboncoin.fr,Toyota Auris Touring Sport Tendance,2016,11 900 €,176 000 km,Nort-sur-Erdre (44),https://www.leboncoin.fr/ad/voitures/3169959336,2026-04-08
leboncoin.fr,Toyota Auris Touring Sports 1.8 Hybride 136Ch Garantie,2013,11 490 €,150 000 km,Tremblay-en-France (93),https://www.leboncoin.fr/ad/voitures/3173619473,2026-04-08
leboncoin.fr,Toyota auris touring sport,2017,11 500 €,229 000 km,Tremblay-en-France (93),https://www.leboncoin.fr/ad/voitures/3172393006,2026-04-08
leboncoin.fr,Toyota auris touring sport,2018,10 490 €,260 000 km,Neuilly-sur-Marne (93),https://www.leboncoin.fr/ad/voitures/3173955078,2026-04-08
leboncoin.fr,Vend Toyota Auris Touring Sport Break,2014,9 600 €,278 000 km,Thiais (94),https://www.leboncoin.fr/ad/voitures/2821048758,2026-04-08
leboncoin.fr,Toyota Auris Hybride Break - Toit Panoramique - 2014,2014,8 500 €,357 000 km,Boulogne-Billancourt (92),https://www.leboncoin.fr/ad/voitures/3170455956,2026-04-08
leboncoin.fr,Toyota auris break,2015,8 900 €,390 000 km,Le Bourget (93),https://www.leboncoin.fr/ad/voitures/3175632414,2026-04-08
leboncoin.fr,TOYOTA AURIS Touring Sports Style Hybride 136h - BV CVT,2014,12 980 €,114 699 km,Neufchâteau (88),https://www.leboncoin.fr/ad/voitures/3171723679,2026-04-08
